storeId,categoryName,subcategoryName,avg_price_discount_new,city,DT
0238,Сыр,Сыры для кулинарии,602.6923076923077,Kazan,2024-01-13
0124,Курица,Куриный фарш,228.0,Moscow,2024-01-13
0203,Курица,Субпродукты куриные,195.66666666666666,Ekaterinburg,2024-01-13
0238,Молочная продукция,Творог и творожная масса,408.2238805970149,Kazan,2024-01-13
0210,Овощи,Другие корнеплоды,399.0,St.Petersburg,2024-01-13
0210,Сыр,Фермерские сыры,1423.0,St.Petersburg,2024-01-13
0124,Овощи,Зелень,2407.125,Moscow,2024-01-13
0238,Мясо охлажденное,Полуфабрикаты из свинины,649.5,Kazan,2024-01-13
0238,Молочная продукция,Сметана,252.65116279069767,Kazan,2024-01-13
0179,Молочная продукция,Сметана,285.0769230769231,Krasnodar,2024-01-13
0179,Молочная продукция,Кефир,90.70370370370371,Krasnodar,2024-01-13
0238,Вино,Красные вина,662.2083333333334,Kazan,2024-01-13
0238,Фрукты,Фруктовые снеки и нарезки,48330.333333333336,Kazan,2024-01-13
0091,Молочная продукция,Молочные коктейли,178.6875,Tumen,2024-01-13
0210,Фрукты,Фруктовые снеки и нарезки,44652.0,St.Petersburg,2024-01-13
0091,Овощи,Лук,79.0,Tumen,2024-01-13
0091,Молочная продукция,Сливки,396.1666666666667,Tumen,2024-01-13
0179,Ягоды,Свежие ягоды,1449.0,Krasnodar,2024-01-13
0091,Сыр,Маасдам,1082.090909090909,Tumen,2024-01-13
0091,Сыр,Сыры с добавками,1016.0,Tumen,2024-01-13
0091,Молочная продукция,Сметана,260.0,Tumen,2024-01-13
0238,Вино,Белые вина,595.542,Kazan,2024-01-13
0203,Сыр,Творожные сыры,702.578947368421,Ekaterinburg,2024-01-13
0238,Сыр,Сыры с добавками,973.75,Kazan,2024-01-13
0238,Сыр,Сыры для кулинарии,613.3488372093024,Kazan,2024-01-15
0179,Молочная продукция,Сливки,356.84375,Krasnodar,2024-01-13
0210,Молочная продукция,Сливки,705.3142857142857,St.Petersburg,2024-01-13
0238,Сыр,Творожные сыры,730.0869565217391,Kazan,2024-01-13
0124,Курица,Куриный фарш,228.0,Moscow,2024-01-15
0091,Овощи,Баклажаны,533.0,Tumen,2024-01-13
0124,Мясо охлажденное,Полуфабрикаты из свинины,505.0,Moscow,2024-01-13
0210,Овощи,Томаты,622.5,St.Petersburg,2024-01-13
0203,Сыр,"Фета, Брынза",633.1538461538462,Ekaterinburg,2024-01-13
0203,Овощи,Зернобобовые,422.0,Ekaterinburg,2024-01-13
0203,Курица,Субпродукты куриные,239.1,Ekaterinburg,2024-01-15
0210,Сыр,Копчёные снеки,1407.7,St.Petersburg,2024-01-13
0124,Сыр,Сыры для кулинарии,751.2777777777778,Moscow,2024-01-13
0210,Овощи,Зелень,1502.111111111111,St.Petersburg,2024-01-13
0238,Молочная продукция,Творог и творожная масса,413.2869955156951,Kazan,2024-01-15
0091,Молочная продукция,Йогурты и творожные десерты,295.6141304347826,Tumen,2024-01-13
0238,Сыр,Сыры рассольные национальные,900.1,Kazan,2024-01-13
0179,Сыр,"Фета, Брынза",651.0,Krasnodar,2024-01-13
0124,Овощи,Зернобобовые,444.0,Moscow,2024-01-13
0210,Овощи,Другие корнеплоды,655.6666666666666,St.Petersburg,2024-01-15
0091,Сыр,Фермерские сыры,928.0,Tumen,2024-01-13
0210,Курица,Полуфабрикаты куриные,377.0,St.Petersburg,2024-01-13
0238,Мясо охлажденное,Мясной фарш и полуфабрикаты,526.3571428571429,Kazan,2024-01-13
0210,Сыр,Фермерские сыры,1423.0,St.Petersburg,2024-01-15
