storeId,categoryName,subcategoryName,avg_price_regular_new,city,DT
0238,Сыр,Сыры для кулинарии,725.9230769230769,Kazan,2024-01-13
0124,Курица,Куриный фарш,240.0,Moscow,2024-01-13
0203,Курица,Субпродукты куриные,206.33333333333334,Ekaterinburg,2024-01-13
0238,Молочная продукция,Творог и творожная масса,480.97014925373134,Kazan,2024-01-13
0210,Овощи,Другие корнеплоды,421.0,St.Petersburg,2024-01-13
0210,Сыр,Фермерские сыры,1498.0,St.Petersburg,2024-01-13
0124,Овощи,Зелень,2587.5,Moscow,2024-01-13
0238,Мясо охлажденное,Полуфабрикаты из свинины,716.75,Kazan,2024-01-13
0238,Молочная продукция,Сметана,299.6511627906977,Kazan,2024-01-13
0179,Молочная продукция,Сметана,319.28205128205127,Krasnodar,2024-01-13
0179,Молочная продукция,Кефир,104.51851851851852,Krasnodar,2024-01-13
0238,Вино,Красные вина,725.1863333333332,Kazan,2024-01-13
0238,Фрукты,Фруктовые снеки и нарезки,50880.333333333336,Kazan,2024-01-13
0091,Молочная продукция,Молочные коктейли,219.5,Tumen,2024-01-13
0210,Фрукты,Фруктовые снеки и нарезки,47017.0,St.Petersburg,2024-01-13
0091,Овощи,Лук,84.0,Tumen,2024-01-13
0091,Молочная продукция,Сливки,480.75,Tumen,2024-01-13
0179,Ягоды,Свежие ягоды,2652.3333333333335,Krasnodar,2024-01-13
0091,Сыр,Маасдам,1392.5454545454545,Tumen,2024-01-13
0091,Сыр,Сыры с добавками,1379.5,Tumen,2024-01-13
0091,Молочная продукция,Сметана,306.56666666666666,Tumen,2024-01-13
0238,Вино,Белые вина,720.4753333333333,Kazan,2024-01-13
0203,Сыр,Творожные сыры,887.1052631578947,Ekaterinburg,2024-01-13
0238,Сыр,Сыры с добавками,1396.5,Kazan,2024-01-13
0179,Молочная продукция,Сливки,431.9375,Krasnodar,2024-01-13
0210,Молочная продукция,Сливки,805.5142857142857,St.Petersburg,2024-01-13
0238,Сыр,Творожные сыры,873.9565217391304,Kazan,2024-01-13
0091,Овощи,Баклажаны,561.0,Tumen,2024-01-13
0124,Мясо охлажденное,Полуфабрикаты из свинины,565.25,Moscow,2024-01-13
0210,Овощи,Томаты,811.6,St.Petersburg,2024-01-13
0203,Сыр,"Фета, Брынза",771.7692307692307,Ekaterinburg,2024-01-13
0203,Овощи,Зернобобовые,444.0,Ekaterinburg,2024-01-13
0210,Сыр,Копчёные снеки,1597.7,St.Petersburg,2024-01-13
0124,Сыр,Сыры для кулинарии,942.3333333333334,Moscow,2024-01-13
0210,Овощи,Зелень,1582.2222222222222,St.Petersburg,2024-01-13
0091,Молочная продукция,Йогурты и творожные десерты,356.7282608695652,Tumen,2024-01-13
0238,Сыр,Сыры рассольные национальные,985.4,Kazan,2024-01-13
